,index,lake,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,smoothed_chla,chla_first_deriv,normalized_chla_rate,norm_chla_rate_pos,max_flag
0,46305,Windermere_north,1977-01-11,1977,1,11,11,49,,0.74,,11.0,,7.1,,,541.0,11.0,,4.5,,,,,,0.8119999999999997,0.07300000000000002,0.08990147783251237,True,
1,46306,Windermere_north,1977-01-19,1977,1,19,19,49,,0.92,,12.0,,,,,,,,4.0,,,,,,0.8849999999999998,0.07300000000000002,0.08248587570621474,True,
2,46307,Windermere_north,1977-01-25,1977,1,25,25,49,,1.0,,13.0,,6.9,,,544.0,5.0,,4.2,,,,,,0.9579999999999997,0.07299999999999998,0.07620041753653445,True,
3,46308,Windermere_north,1977-02-08,1977,2,8,39,49,,1.13,,13.0,,7.0,,,612.0,10.0,,3.7,,,,,,1.1759999999999997,0.18200000000000002,0.15476190476190482,True,
4,46309,Windermere_north,1977-02-15,1977,2,15,46,49,,1.0,,16.0,,,,,,,,4.0,,,,,,1.1639999999999997,0.04200000000000001,0.03608247422680414,False,
5,46310,Windermere_north,1977-02-22,1977,2,22,53,49,,1.83,,11.0,,6.7,,,640.0,11.0,,4.2,,,,,,1.1579999999999997,-0.04600000000000002,-0.03972366148531954,False,
6,46311,Windermere_north,1977-03-01,1977,3,1,60,49,,0.86,,12.0,,6.9,,,,,,3.7,,,,,,1.1059999999999999,-0.11200000000000004,-0.10126582278481018,False,
7,46312,Windermere_north,1977-03-08,1977,3,8,67,49,,0.97,,11.0,,6.9,,,651.0,5.0,,4.2,,,,,,1.1359999999999997,-0.13500000000000006,-0.11883802816901418,False,
8,46313,Windermere_north,1977-03-15,1977,3,15,74,49,,0.87,,12.0,,,,,649.0,8.0,,4.5,,,,,,0.9879999999999999,0.06400000000000002,0.0647773279352227,True,
9,46314,Windermere_north,1977-03-22,1977,3,22,81,49,,1.15,,11.0,,,,,620.0,5.0,,5.0,,,,,,1.1199999999999997,0.13200000000000003,0.11785714285714292,True,
10,46315,Windermere_north,1977-03-29,1977,3,29,88,49,,1.09,,11.0,,,,,,,,5.0,,,,,,1.2479999999999998,0.18500000000000005,0.14823717948717954,True,
11,46316,Windermere_north,1977-04-05,1977,4,5,95,49,,1.52,,12.0,,,,,637.0,5.0,,5.25,,,,,,1.6159999999999997,0.3640000000000001,0.22524752475247536,True,
12,46317,Windermere_north,1977-04-13,1977,4,13,103,49,,1.61,,13.0,,,,,,,,5.3,,,,,,2.1119999999999997,0.6270000000000001,0.2968750000000001,True,
13,46318,Windermere_north,1977-04-19,1977,4,19,109,49,,2.71,,11.0,,,,,646.0,5.0,,6.3,,,,,,2.797999999999999,0.802,0.28663330950679067,True,
14,46319,Windermere_north,1977-04-26,1977,4,26,116,49,,3.63,,,,,,,612.0,6.0,,7.15,,,,,,3.8339999999999987,1.1990000000000003,0.31272822117892557,True,
15,46320,Windermere_north,1977-05-03,1977,5,3,123,49,,4.52,,13.0,,,,,564.0,5.0,,7.4,,,,,,5.363999999999999,1.6170000000000004,0.30145413870246096,True,
16,46321,Windermere_north,1977-05-10,1977,5,10,130,49,,6.7,,12.0,,,,,558.0,5.0,,8.4,,,,,,6.365999999999999,1.2920000000000003,0.20295318881558286,True,
17,46322,Windermere_north,1977-05-17,1977,5,17,137,49,,9.26,,13.0,,,,,525.0,26.0,,9.9,,,,,,7.379999999999998,0.938,0.12710027100271004,True,True
18,46323,Windermere_north,1977-05-24,1977,5,24,144,49,,7.72,,17.0,,,,,496.0,8.0,,13.0,,,,,,7.099999999999998,-0.7720000000000004,-0.10873239436619726,False,
19,46324,Windermere_north,1977-05-31,1977,5,31,151,49,,8.7,,21.0,,,,,477.0,13.0,,14.85,,,,,,6.321999999999999,-1.7500000000000004,-0.27681113571654553,False,
20,46325,Windermere_north,1977-06-08,1977,6,8,159,49,,3.12,,12.0,,,,,485.0,13.0,,14.7,,,,,,5.109999999999999,-1.4930000000000003,-0.29217221135029364,False,
21,46326,Windermere_north,1977-06-14,1977,6,14,165,49,,2.81,,12.0,,,,,474.0,19.0,,14.5,,,,,,4.501999999999999,-0.796,-0.17681030653043098,False,
22,46327,Windermere_north,1977-06-21,1977,6,21,172,49,,3.2,,8.0,,,,,479.0,13.0,,13.9,,,,,,3.4579999999999993,0.259,0.07489878542510123,True,
23,46328,Windermere_north,1977-06-28,1977,6,28,179,49,,4.68,,11.0,,,,,443.0,8.0,,16.5,,,,,,3.5919999999999987,0.22399999999999998,0.06236080178173721,True,
24,46329,Windermere_north,1977-07-05,1977,7,5,186,49,,3.48,,10.0,,,,,440.0,8.0,,18.6,,,,,,3.869999999999999,0.11099999999999999,0.028682170542635662,False,
25,46330,Windermere_north,1977-07-12,1977,7,12,193,49,,3.79,,10.0,,,,,400.0,14.0,,20.9,,,,,,4.355999999999999,0.26200000000000007,0.06014692378328745,True,
26,46331,Windermere_north,1977-07-19,1977,7,19,200,49,,4.2,,,,,,,367.0,18.0,,18.5,,,,,,4.536,0.6040000000000001,0.13315696649029984,True,
27,46332,Windermere_north,1977-07-26,1977,7,26,207,49,,5.63,,10.0,,,,,361.0,8.0,,,,,,,,5.959999999999999,1.5000000000000002,0.25167785234899337,True,
28,46333,Windermere_north,1977-08-02,1977,8,2,214,49,,5.58,,14.0,,,,,350.0,6.0,,18.4,,,,,,6.735999999999999,1.191,0.17681116389548698,True,
29,46334,Windermere_north,1977-08-09,1977,8,9,221,49,,10.6,,15.0,,,,,,,,17.9,,,,,,7.379999999999998,0.567,0.07682926829268294,True,
30,46335,Windermere_north,1977-08-16,1977,8,16,228,49,,7.67,,13.0,,,,,319.0,10.0,,18.9,,,,,,8.365999999999998,0.6780000000000002,0.08104231412861587,True,
31,46336,Windermere_north,1977-08-23,1977,8,23,235,49,,7.42,,14.0,,,,,314.0,16.0,,17.0,,,,,,9.627999999999998,0.5470000000000003,0.056813460739509804,True,
32,46337,Windermere_north,1977-08-30,1977,8,30,242,49,,10.56,,,,,,,316.0,10.0,,17.0,,,,,,10.105999999999998,1.5110000000000003,0.14951513952107665,True,
33,46338,Windermere_north,1977-09-06,1977,9,6,249,49,,11.89,,,,,,,,,,14.95,,,,,,10.687999999999999,0.875,0.0818675149700599,True,
34,46339,Windermere_north,1977-09-13,1977,9,13,256,49,,12.99,,15.0,,,,,294.0,12.0,,14.3,,,,,,11.067999999999998,-0.37900000000000034,-0.03424286230574633,False,True
35,46340,Windermere_north,1977-09-20,1977,9,20,263,49,,10.58,,,,,,,272.0,9.0,,13.8,,,,,,10.203999999999999,-1.4970000000000008,-0.14670717365738936,False,
36,46341,Windermere_north,1977-09-27,1977,9,27,270,49,,9.32,,,,,,,291.0,,,13.65,,,,,,8.895999999999999,-1.9620000000000009,-0.22054856115107926,False,
37,46342,Windermere_north,1977-10-04,1977,10,4,277,49,,6.24,,20.0,,,,,358.0,21.0,,12.7,,,,,,7.799999999999998,-1.0110000000000006,-0.12961538461538472,False,
38,46343,Windermere_north,1977-10-11,1977,10,11,284,49,,5.35,,13.0,,,,,,,,11.85,,,,,,6.587999999999999,-0.8330000000000004,-0.12644201578627817,False,
39,46344,Windermere_north,1977-10-18,1977,10,18,291,49,,7.51,,13.0,,,,,358.0,21.0,,11.9,,,,,,5.199999999999999,-0.8550000000000004,-0.16442307692307703,False,
40,46345,Windermere_north,1977-10-25,1977,10,25,298,49,,4.52,,16.0,,,,,347.0,23.0,,11.9,,,,,,4.26,-1.2750000000000004,-0.2992957746478874,False,
41,46346,Windermere_north,1977-11-01,1977,11,1,305,49,,2.38,,27.0,,,,,,,,11.2,,,,,,3.3879999999999995,-1.6020000000000003,-0.4728453364817003,False,
42,46347,Windermere_north,1977-11-08,1977,11,8,312,49,,1.54,,17.0,,,,,,,,10.1,,,,,,2.0439999999999996,-0.8850000000000001,-0.4329745596868886,False,
43,46348,Windermere_north,1977-11-15,1977,11,15,319,49,,0.99,,,,,,,380.0,7.0,,9.05,,,,,,1.2939999999999998,-0.3970000000000001,-0.30680061823802174,False,
44,46349,Windermere_north,1977-11-22,1977,11,22,326,49,,0.79,,18.0,,,,,446.0,15.0,,7.9,,,,,,0.938,-0.21000000000000008,-0.22388059701492546,False,
45,46350,Windermere_north,1977-11-29,1977,11,29,333,49,,0.77,,17.0,,,,,452.0,,,,,,,,,0.7679999999999998,-0.07900000000000004,-0.10286458333333341,False,
46,46351,Windermere_north,1977-12-06,1977,12,6,340,49,,0.6,,15.0,,,,,461.0,7.0,,6.8,,,,,,0.6819999999999999,-0.05400000000000002,-0.07917888563049857,False,
47,46352,Windermere_north,1977-12-13,1977,12,13,347,49,,0.69,,15.0,,,,,450.0,14.0,,6.45,,,,,,0.6279999999999999,-0.05400000000000007,-0.08598726114649693,False,
48,46353,Windermere_north,1977-12-20,1977,12,20,354,49,,0.56,,9.0,,,,,444.0,9.0,,6.45,,,,,,0.5739999999999997,-0.05400000000000007,-0.09407665505226497,False,
